tweet,label,label_type
bang akun nya pakai global lock region america,neg,0
pke gk pke kacamata ya,pos,1
video call gak lihat andaya,pos,1
bang cobain visor vr bentuk mirip kacamata kata lebih murah apple vision pro,pos,1
bang david rajin olahraga tuh gua liat td perut lu maju hehe sehat selalu bang david,pos,1
ini sih gokil abis,neg,0
julio kalau hololens jual buat usaha sama developer aja beda sama vision pro yang semua bisa beli,neg,0
ini yg pling d tunggu,neg,0
gw beli teknologi nya udh kaya sao aja alias full dive apakah wujud turut ku aja ga mustahil buat mesin waktu,pos,1
fix aku ga masa depan mahal betul utk tuju masa yaudah aku masa kini masa bodoh aja lah,pos,1
kalian tau ga teknologi udh tahun lalu buat huawei gilir apple yg buat heboh semua,neg,0
pertama dari malaysia,neg,0
bisa engak review apple vision pro main pubg,neg,0
sekarang gk penasaranenggak jadi beli cuma gitu doangkita main suka jatpi liat orang kaya orang gilaa,neg,0
bang review hp tecno pro bang,neg,0
ke inget pokemon go,neg,0
osmo pocket nya ga dirivew sekali pidd,neg,0
bang tes pake main game mobile legend nda,pos,1
nunggu produk china,pos,1
nunggu nervegear rilis,pos,1
gadget rugi angkt anggap cuma beban,neg,0
gercep nih,neg,0
ga bayang teknologi lensa mata,neg,0
eh elu siape ngejokes,pos,1
fitur utk mata minus gk ya,neg,0
bang coba buat main pokemon go bang,pos,1
gakk asa pusing kahh,neg,0
saking takjub david kata tunjuk jadi kata tunjuk gua wkwkwk,neg,0
bisa jadi saringgan donk,neg,0
cocok buat mata minus rabun,neg,0
hdir,neg,0
new achievement unlocked hallo guys selamat pagi david sini,pos,1
angkt apple vision pro kurang inovatif banding saing,neg,0
saya yg barusan chatting bang david email bang,neg,0
odgj,neg,0
iqbal jadi tukang paket,pos,1
yg mau liat nyobain game mlbb pke vision ngumpul,pos,1
kalo org gaj ngerti bilang laen haha tp buat seorg introvrt anugrah bgt buat dia,neg,0
permisi om q mau tanya q mau beli hp q punya pilih tecno pova sama infinix note pro rekomendasi yg mana maaf cuma punya duit sedikit,pos,1
nunggu review tecno pova pro g,pos,1
nervegear,neg,0
wah yg mata minus enak dong liat langsung kamera,neg,0
pusing gw liat preview bro,neg,0
bahas tecno pova pro bang david,pos,1
link start,neg,0
kirain notif review tecno pova pro,neg,0
odading mang rasa jadi ironman,neg,0
kelak semua manusia yg sembah batu atau tiada agama akan peluk islam agama benar rana semua di awang,neg,0
first,neg,0
buat main mobile legend gimana bang,pos,1
bisa atur mes berapa,neg,0
review tablet redmi se dong bg david,neg,0
dunia makin kesini makin kesana,pos,1
bang review tecno pova pro,neg,0
coba dong pake tempat gelap lihat gak,neg,0
kalau buat game sih lebih bagus punya meta responsif,pos,1
waaadeeeeeheeeelll dunia kembang pesat,pos,1
mungkin kota saranjana teknologi jadi umum,neg,0
kalau pakai mobil brti harus pakai mobil yg korden partisi baris dua bang contoh kayak lexus lm,neg,0
coba garage band dong d layar doang,pos,1
segmented bgt bukan produk yg rakyat kecil beli,neg,0
andai bentuk kacamata lebih keren,pos,1
game yu gi sangat keren kalau pake vision pro pairing sama vision pro duel keren banget,pos,1
bang david gw mau request review hp flagship xiaomi baru,pos,1
kayak kacamata selam banggede gel bang,neg,0
keren,pos,1
david lucu sih lucu sih pdhl org ngeliatnya lebih lucu gerak gerak nggak atur sendiri,neg,0
ergonomic mouse konon ramah otot gelang tangan kalo hari megang mouse mulu,neg,0
wiiih,neg,0
alay,neg,0
contoh pas mau ngedit video si vision pro bisa langsung manduin gimana cara ngedit video yg di mau nanti cara langsung ini gilaaaa sihh org yg ga tau apa apa bisa mahir karna visin pro kalau jadi,pos,1
pokemon go versi hologram gitu mantep sih bayangin pak tani nyangkul sawah tiba bulbasur lewat,neg,0
tinggal pake kacamata,neg,0
bagi dunia nyata liat lu bang kayak orang gil yg pakai apple vision dunia lain,neg,0
banyak orang gila nanti,neg,0
nunggu dunia virtual movie ready player one nya siap dulu baru beli,pos,1
kaget bg david branda,neg,0
cobain bang maen nya makan terus tangan kiri megang minum gerakin menu pake tangan kanan yg kotor wkwk,neg,0
apple vision pro lebih sekadar kamera angkt,neg,0
lama orang main gitu rusuh coba depan penuh makan minum ga liat meja tumpah kena tangan,neg,0
mungkin depan travel mode bakal muncul pilih travel mode driver passenger,neg,0
ini memimalisir jadi kek gitu der,neg,0
bang kalo mata tileng jeeng yg bola mata kadang gak selaas gak pakai vision po malay eye tacking nya eror,neg,0
dont get sunlight on the lenses,neg,0
ar vr saat,neg,0
masa depan ponsel kan gin hologram,neg,0
bang david ikut kerja donk,neg,0
munit laluanai,neg,0
user androit bapuk mahal beli vr aja yg penting kan cok,neg,0
kalau main mobilegnd cape,neg,0
apple vision jadiin waifu nyata gk bang,pos,1
bang coba buat cinematic ngerekam nya apple vision pro,pos,1
malah sao balik full dive dulu baru augmented reality,neg,0
orang biasa bang sedang ngapain,neg,0
ada sadar ga sih klo depan layar yg emulasiin wajah mata lebih tepat lihat transparan,pos,1
google glass rangkak semua vr lain telah bisa ngacir,neg,0
bang main game sang ri la frontier,pos,1
pusing gak kalo lama pakai nya bg,neg,0
moga semua saksi sehat rejeki limpah ruah,pos,1
bang bahas redmi note pro g udah rilis,pos,1
angkt males banget pakai gadget siasia,neg,0
yang nunggu versi chinanya ngumpul,neg,0
hades biasa kaum okb ato gengsi gede bru mampu kalo dah biasa pake produk apple psti ngerasanya biasa aja ga apa,neg,0
utama nya sih kak kalo untuk kembang teknologi sekarang yang gak pake teknologi kayak begini sih jagajaga aja mungkin yang kalian milik pake mungkin lebih efisien lihat sehat di daerah nya masingmasing thats my opinion anyway haturnuhun,neg,0
juta buat beli tanah,pos,1
kalau naik sepeda pake gmn kak,neg,0
tau dri mano lor,neg,0
thumbnail nya kayak orang gila sepi bang,neg,0
gk bayang kalau game modern warship ganshin impact mainin vision pro waduhh,pos,1
gadget canggih jadi makin cool berkat angkt,pos,1
g hari bang playtime cuma itungan jam ingat baterai external cuma ukur pb rb mah,neg,0
angkt mau tau banget kualitas gambar apple vision pro,pos,1
kilas jadi keinget kaya teknologi nervegear di anime sword art online bang,neg,0
gak yakin david bawa charger busuk kaya gitu palembang trs tinggal minta orang rumah balikin pake lion parcel,neg,0
bukan buat kaum dang mending,neg,0
absen org cepat,neg,0
apple vision pro apa benar hasil foto tajam angkt,pos,1
gadget angkt anggap norak,neg,0
techjawir bakal seru banget mas,pos,1
imagine kalau pubg udah version apple vision pro mana beneran lari nembak musuh,neg,0
review hp tecno pro bang,neg,0
keren bet kayak ngehalu gitu,pos,1
satu nya video bang david bikin gua pusing liat kamera,neg,0
wibu nyala,neg,0
makin aneh orangorang,pos,1
bang radiasi mata nya apa ga lebih bahaya karna lebih dekat mata,neg,0
ikbal jadi kurir,neg,0
pertama ni bg,neg,0
halo bang,pos,1
anjay apartemen gua,neg,0
memang orang amerika selalu cipta temu baru yg belum pernah temu manusia mantap keren yg pasti cepat ada yg niru si tukang contek,pos,1
bisa buat challenge nebak benda asli palsu wkwk,pos,1
aku tunggu bang david nya unboxing redmi note g apa beda sama redmi note g aku sangat penasaran banget bel saat lebaran nanti,neg,0
angkt males deh sama gadget gak jelas,neg,0
apple vision pro main yugioh mantap bang,pos,1
apple vision pro layar cukup sensitif angkt,neg,0
bang gw nonton lu lonton yt layar gw tonton youtube gw mabok,neg,0
gilak ah teknologi apple ne samsung sedang mode serius ne gara apple vision,neg,0
klo liat babi jadi bayang kalo main pokemon go versi yg emg update,neg,0
jadi kaya orang ngehalu gk sih,neg,0
bng coba unboxing tecno pova oro,pos,1
coba main pake pokemon kak,pos,1
wkwkw iqbal jadi kurir,neg,0
gabisa telfonan travelmode mungkin buat aman bang masa kendara telfpnan vc an,neg,0
iqbal nyambi part time lion parcel,neg,0
awikwok banget ya vid,pos,1
tunggu main pokemon go vision pro pokemon in real life,neg,0
er gak sihhh extended reality,neg,0
kalo experience main game gw rasa jauh lebih bagus oculus quest sih cuma emg gabisa travel mode tp gtau dah yg quest,neg,0
apple vision pro selamat orang mata minus,neg,0
bang lu nulis mandarin scara g sngaja ato sngaja,neg,0
gadget manfaat angkt anggap remeh,pos,1
pradiptapraja iya balik ya normal sih tahap di ril lifenya balik karna memang bikin augmented reality lebih mudah pada full dive dan bikin full dive tubuh tidur otak kerja di suatu server dengan tubuh avatar tidak mud,neg,0
bang david hp yg an gak yg bekas buat ngojek nih xiomi jg bolh lah yg penting ram,pos,1
mungkin teknologi suatu ngrasain game d sperti film memories of the alhambra jdi nyata yg awal pke kcamata gde sperti skrng brubah pke softlens doank,pos,1
barang rad mahal buat sakit mata sila mau rusakin mata pakai nga apapa lasik trus pakai duit dolo hape jadul an super rad eh sekarang tetap berat gram an hehehehe,neg,0
minus nya sih goyang kaya gada stabilizer nya harus,neg,0
anjay flexing,neg,0
the simpsonns dunia nyata,pos,1
impi orang jadi tony stark akhir bisa wujud,pos,1
kalo dipake nge game bisa gak sih,pos,1
bener cuma orang idiot pakai vision pro nyetir mobil kemarin aja pakai cybertruck banyak kecam kok,neg,0
th lalu samsung galaxy vr,pos,1
mantap,pos,1
render gacor,neg,0
bisa konek stik enak tu bang buat main game,pos,1
bisa buat main pubg gak bg kalo seru sih,pos,1
sbrnya aku nunggu jlan luar malam hari dlm kondisi cahaya yg redup bahkan gelap bkal kek gmna apple vision pro nya mnampilkan area apkh bkal sesuai dbkin lebih teranghitam putih gimna gitu jd penasaran,neg,0
hallo bre,pos,1
too late to explore earth too fast to explore space right time to explore saoready player,neg,0
kek beda pandang lebih gelap gitu pas pov apple vision pro nya dimanding kamera,neg,0
kalau pokemon go pakai kayak gin manteb sih,neg,0
lama lama kayak pasien rsj main ini d tempat umum,neg,0
benar bang enak tahun segituan salam lahir tahun an walaupun teknologi vibes nya syahdu tahun segituan,pos,1
bisa main mobile legend ngga,neg,0
kalo mau on came zoom gimana bang,pos,1
tim gercep yuhuuu,neg,0
ibox salesnya ketar tir,neg,0
angkt bawa ubah besar gadget canggih,neg,0
kerenn ngintip kurir pake apple vision wkwk,pos,1
q cium sponsor d konten mantp alus bangt sponsor nya msuk d dlm video kli ini,pos,1
jadi ingat film ready player one parzival masuk oasis,neg,0
tahun review lensa vision pro,neg,0
bisa main ml ga bg,neg,0
halo,pos,1
kurir bang iqbal,neg,0
bayangin kalo enak enak rebah malah datang iklan sopi cod bayar premium dulu,neg,0
kira apa pikir bapak ngeliat gera david,neg,0
kurir nya editor nya,neg,0
berat batrenya tahan hari bang,neg,0
damn mantap bang hahaha jadi enak bahas mobil f,pos,1
kurir lion parcelnya pikir ar nyata real,pos,1
review tecno spark pro bang,neg,0
yang jd tanda tanya buat klo vc gimana tampil layar lawan vc apa keliahatan wajah bg,neg,0
kalau tecno pocket go udh rilis indonesia jgn lupa koh review langsung soal keren turut saya,neg,0
iyalaah bg david buat tuhan gk kn pernah bsa d saing makhluk,pos,1
untuk radiasi aman pakai kepala begitu,neg,0
bank david ceritain donk kalau epek negativnya,neg,0
dipake orang pintar dipake orang cabul,neg,0
plekocrooootttt,neg,0
pov nya ngurang wkkw,neg,0
angkt bingung gadget sepele,neg,0
menit paling gokil sih efek pakai alat canggih jadi bingung bawa masak pajang meja kirain mouse donk,neg,0
bg coba nonton trailer game titanfall pas posisi robot sebanrnya visa buat pake apple vision interfacenya mirip gitupasti keren kalau yg buat konten gitu,pos,1
apple vision pro kurang unggul kerja angkt,neg,0
lucu aja pas bayar,pos,1
